age,salary,sex
79,60481.42394,1
59,65946.2298,1
50,42828.593,0
46,43523.42848,0
40,40378.25435,0
63,51555.83631,1
60,54193.58001,1
34,38216.98044,0
50,42593.49092,0
67,56472.3353,0
59,46362.32585,0
80,54507.63306,1
67,46551.38602,1
50,50171.19918,0
21,29250.20235,1
79,72306.15875,1
77,61110.82142,1
77,40057.49214,1
31,37875.58762,1
30,41316.31151,0
35,41784.03655,1
39,37930.14398,0
26,31547.81715,1
30,30539.18373,1
56,54955.6846,1
78,63116.55108,0
67,52211.00958,1
29,35181.46943,0
39,39923.8681,1
28,35604.01159,0
38,35435.67582,0
49,49225.23722,0
66,49646.16882,1
76,53667.00401,0
84,58257.5471,0
41,40654.5865,0
22,29139.25573,1
50,44117.17303,0
80,65954.47963,1
79,55113.29072,0
31,34836.78961,1
75,63508.43141,0
27,34045.93731,1
28,38934.1349,0
35,35098.27403,0
70,60332.01355,1
36,38788.58699,1
89,29839.2004,1
50,42022.2715,0
62,44382.54963,0
66,46158.50046,1
52,48365.0307,0
76,57551.95295,1
84,66627.3885,1
78,64715.74286,0
64,43385.32568,1
65,55401.22477,1
63,42956.58718,0
20,30342.21659,0
40,40921.35451,0
66,53845.53529,0
56,45286.10202,1
63,62109.37721,0
27,33299.15094,0
75,71239.28416,0
36,36773.59297,0
47,37188.95012,0
33,39010.52858,1
74,66188.86035,0
60,44830.0729,0
37,37082.8291,0
49,44960.21744,1
55,51354.00614,1
50,42631.35983,1
80,73470.8792,0
61,54637.45983,0
52,45938.47675,1
66,51510.90302,0
79,63986.19508,0
30,35783.85127,1
56,49234.30055,1
49,39956.85917,1
23,32447.03865,1
55,40529.65319,0
71,54807.34373,0
20,32873.66234,0
30,32218.3277,1
20,28406.35548,0
28,35180.55106,0
66,49585.43394,0
69,51126.01848,0
66,56272.85344,0
64,48198.4088,1
70,57627.45303,0
48,44104.21816,1
74,62967.23265,0
26,34251.75101,1
41,37846.74948,1
55,46475.79887,1
41,45370.96763,1
47,51095.29971,0
33,29127.02932,0
49,45462.74195,1
20,29435.15385,0
42,39219.26835,1
39,29764.89328,1
28,39607.59213,0
43,41457.01428,0
31,39200.48899,1
84,62569.6217,0
80,67743.98038,1
38,40016.59185,1
62,44827.30706,1
72,46619.99873,1
70,50973.96205,1
32,36887.98185,0
35,29425.70471,0
34,37577.72147,0
88,54214.9098,0
39,33732.47455,0
59,56936.17576,0
89,65406.80988,0
72,54498.83849,0
66,53004.59715,1
57,53493.15062,0
46,40416.48668,0
50,41950.67069,0
41,43580.13109,0
78,46530.25251,0
70,41994.22558,0
66,48295.17648,0
89,62985.67943,1
82,57672.89097,0
63,48535.68841,0
44,44859.38337,0
67,45734.75104,1
26,35352.22704,1
65,63635.09549,0
37,47548.56812,0
21,32914.95025,0
22,30780.08317,0
66,57272.32179,1
74,46422.79738,0
67,52336.95905,0
50,37905.31854,0
36,43377.44709,0
45,41167.09686,1
57,46630.73269,1
82,59882.20304,0
61,36661.98077,0
56,49917.47229,0
44,39196.3803,0
56,41672.89995,0
67,41452.95975,1
83,69457.90657,1
51,45979.0039,0
34,32763.80838,0
21,26273.68524,0
52,49060.47345,0
52,49541.06667,1
56,47714.63966,0
50,41818.1827,0
76,60558.67039,1
89,75795.48727,0
77,48510.23272,0
81,72741.28236,1
88,58880.5897,1
82,72487.48766,0
25,34117.67993,0
81,58888.60956,0
48,47943.34567,0
46,45584.45654,1
59,49081.70819,1
32,35472.72941,0
82,79624.07665,0
66,61579.62856,0
50,44254.27212,0
55,33258.94271,0
82,69716.90788,1
38,36724.25724,1
80,51899.9874,1
89,67086.17781,1
23,31375.68265,0
22,27172.72944,1
